logged_at,strategy,direction,requested_risk_percent,approved,rejection_reason,final_risk_percent,final_lot_estimate,legacy_would_approve,legacy_risk_percent,risk_trimmed,risk_percent_saved
2026-07-17T00:45:53.107515+00:00,SMC,SELL,1.35,True,,0.75,0.07,True,1.35,True,0.6
2026-07-17T00:46:54.517975+00:00,MICRO,BUY,1.35,True,,0.75,0.07,True,1.35,True,0.6
2026-07-17T00:47:55.470239+00:00,MICRO,BUY,1.35,True,,0.75,0.07,True,1.35,True,0.6
2026-07-17T00:48:56.909072+00:00,MICRO,BUY,1.35,True,,0.75,0.07,True,1.35,True,0.6
2026-07-17T00:49:57.825445+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T00:50:58.365866+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T00:51:58.763066+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T00:52:59.233282+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T00:53:59.670678+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T00:55:00.171642+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T00:56:00.663254+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T00:57:01.105992+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T00:58:01.530528+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T00:59:01.966538+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T01:00:02.411489+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T01:01:02.897057+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T01:02:03.338512+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T01:03:03.800280+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
